SOC (%),Voltage (V),Current (A),Battery Temp (°C),Ambient Temp (°C),Charging Duration (min),Degradation Rate (%),Charging Mode,Efficiency (%),Battery Type,Charging Cycles,EV Model,Optimal Charging Duration Class
43.70861069626263,3.629593050187034,33.55351153623154,33.45405988417796,26.439917565671852,59.363552027744205,8.805096198000713,Fast,98.23898076039984,Li-ion,112.0,Model B,1.0
95.56428757689244,3.879330663164851,32.22809191647998,35.933627943827446,31.108646585999725,67.34356593750215,12.186859604161176,Fast,97.56262807916777,LiFePO4,398.0,Model A,1.0
75.87945476302646,4.111062085113486,91.5629122468933,25.00935797584998,30.20321859580318,105.45473932021804,13.832335580295329,Slow,97.23353288394094,LiFePO4,175.0,Model A,2.0
63.8792635777333,4.012557420486693,32.45915798645555,32.49748199213998,18.077998093875472,54.00043860598922,9.318873828992766,Fast,98.13622523420143,LiFePO4,,Model B,1.0
24.041677639819287,4.064592803503015,34.47547535157679,31.43491966287497,17.984989394829476,106.96496848121711,11.687577238569476,Fast,97.6624845522861,Li-ion,886.0,Model C,2.0
24.03950683025824,3.9611483566975023,78.34584361761674,36.65660753576542,20.363487354898268,28.81344309766915,5.435925976440278,Slow,98.91281480471194,???,248.0,Model C,0.0
15.227525095137953,3.984593595162497,258.64703933214054,38.12174120962521,22.221494526820745,97.67984372086308,10.807450291976748,Fast,97.83850994160466,LiFePO4,830.0,Model B,2.0
87.95585311974416,4.0944369560957234,79.9039501259663,20.24313542954773,23.16911162816965,104.75476330547365,14.139513036254067,Fast,97.17209739274918,LiFePO4,221.0,Model A,2.0
64.1003510568888,3.67476760620143,15.882954180794671,33.48039838117585,28.593944336666905,38.181765283733874,8.06085124554772,Slow,98.38782975089046,Li-ion,310.0,Model B,0.0
73.7265320016441,3.8425974745501983,53.88140743060459,21.03671598239458,16.13360864331671,63.03465323722004,9.991050168970272,Slow,98.00178996620596,Li-ion,379.0,Model C,1.0
11.85260448662222,3.6548466092737217,13.025224016495436,30.97717330154712,15.693454084521328,36.54997746636556,5.1873203449389305,Normal,98.9625359310122,Li-ion,637.0,Model C,0.0
97.29188669457947,4.191367605597653,15.638788310981909,25.752654580873564,22.838211258878182,90.66041289942176,13.707261472057802,Fast,97.25854770558844,LiFePO4,784.0,Model B,
84.91983767203796,4.160841537780629,91.57937080099698,26.135531990442825,28.94327384275961,,11.680666550304512,Normal,97.6638666899391,LiFePO4,255.0,Model A,1.0
29.11051996104485,3.5275987679579544,22.532083400583566,27.05917006904713,18.86870685912965,83.5323346708321,9.769512390740609,Normal,98.04609752185188,Li-ion,337.0,Model B,2.0
26.36424704863905,3.993902620760982,57.91786140476954,32.4258489809922,27.830089625125037,39.64869669562111,6.243562859449988,Slow,98.75128742811,LiFePO4,475.0,Model A,0.0
26.506405886809045,4.147673822190966,46.99860423406359,26.680999313375384,20.19656275880599,41.17458620524195,6.090585777112718,Fast,98.78188284457744,LiFePO4,181.0,Model A,1.0
37.3818018663584,3.626402741589133,41.26089936329584,34.65398101180561,32.721722176270326,24.149732550990635,5.614266856490753,Fast,98.87714662870184,LiFePO4,591.0,Model B,0.0
57.22807884690141,3.897561661386841,90.98500111185452,28.09054771147739,32.91379888533233,52.20675351957297,8.61649412121669,Slow,98.27670117575666,LiFePO4,455.0,Model B,1.0
48.87505167779042,4.140841808311629,11.964105709794056,21.36706400619917,20.94574408562653,75.97446613336749,9.843311295313438,Normal,98.03133774093732,LiFePO4,372.0,Model A,1.0
36.21062261782377,3.5237621850100598,69.74107175580302,35.675196849682145,19.59987507926481,105.79349139973289,12.41041525668637,Slow,97.51791694866272,LiFePO4,679.0,Model A,2.0
65.06676052501416,3.988194187072788,96.70549907921954,25.71516649185412,23.226079441324625,86.69274474586807,11.763491746332418,Fast,97.64730165073352,LiFePO4,143.0,Model A,2.0
22.554447458683764,3.7081443051607854,60.41513651156578,28.65533759198525,19.81063170360297,63.53963233997514,7.855458614198047,Slow,98.4289082771604,Li-ion,672.0,Model A,1.0
36.29301836816963,4.147077336763571,94.31402158297828,33.708877664438035,28.447676865834072,115.31201143941378,13.1094290882482,Fast,97.37811418235036,Li-ion,222.0,Model C,2.0
42.97256589643225,4.179740771615758,14.70320913574214,26.64912314297424,31.52129369096571,91.92452005758318,11.141461123435588,Normal,97.77170777531288,Li-ion,448.0,Model B,2.0
51.04629857953324,4.160986542379404,47.69139871667453,21.13171312293431,28.46184261822434,113.016520286255,13.026943942311297,Fast,97.39461121153774,Li-ion,807.0,Model A,
80.66583652537122,3.8319499516602247,33.414201186584606,27.47842094025627,31.48700894498699,72.75879732721657,11.470445983882756,Normal,97.70591080322345,Li-ion,429.0,####,1.0
27.970640394252374,4.10342985569252,75.77388684826568,38.88897165388607,22.939843244149483,45.89042747931396,7.167182892349752,Normal,98.56656342153003,Li-ion,508.0,Model A,1.0
56.28109945722505,4.091184578974549,98.3167381447522,32.83468794597116,18.126339414177217,25.2826686364722,6.562678423199161,Fast,98.68746431536016,Li-ion,422.0,Model B,0.0
63.31731119758382,3.723370331270279,33.0877056199823,33.42958297334414,29.759018947951844,483.47223757831904,12.55471847091182,Fast,97.48905630581764,Li-ion,210.0,Model B,2.0
14.180537144799796,4.080240831905474,68.8757141326667,32.6456430727528,22.20949010283108,32.130299800553416,5.018833994257081,Normal,98.99623320114858,Li-ion,869.0,Model A,0.0
64.67903667112945,3.525905344300845,27.82878694837661,23.979842779188736,28.42541650458265,50.27751282719672,8.622736708115635,Slow,98.27545265837688,LiFePO4,188.0,Model A,1.0
25.34717113185624,3.917388914937437,60.879722911444894,28.3666772820456,20.41287883963531,73.24709078838974,8.789616653060904,Fast,98.2420766693878,LiFePO4,532.0,Model B,1.0
15.854643368675156,27.533164167287865,51.75392380195026,35.018795967266364,16.624592696133455,,8.913810198294973,Normal,98.217237960341,Li-ion,809.0,Model B,1.0
95.3996983528,3.584396820044095,97.48047966683832,22.027457951063184,34.85163590975527,80.0583196987136,12.542884456752626,Normal,97.49142310864949,LiFePO4,893.0,Model B,2.0
96.90688297671034,3.5538672411404466,64.76745454268199,25.557055521794247,18.124030158611987,36.62553303497006,9.1753246778394,Slow,98.16493506443211,LiFePO4,,Model C,0.0
82.7557613304815,3.9874021431146978,41.455573487813695,25.526382169317078,34.76841987926962,57.97374048216488,10.245252215170336,Fast,97.95094955696594,Li-ion,198.0,Model A,1.0
37.41523922560336,3.737912474637646,20.268620639914005,28.64037855189012,34.545598651328945,81.71942271169667,10.112732781516064,Normal,97.9774534436968,Li-ion,638.0,Model C,2.0
18.79049026057455,4.007336740070134,23.612214586144116,39.6073748188437,30.876362078160792,116.98188646337849,12.668383792585786,Slow,97.46632324148284,Li-ion,700.0,Model C,2.0
71.58097238609412,3.54574943855926,30.27852369561116,21.35005093367644,28.18845924163995,92.76311376996888,12.376810646819267,Normal,97.52463787063614,LiFePO4,245.0,Model A,2.0
49.61372443656412,3.720703236481427,32.58699952062682,30.3740198876119,26.556141005021694,112.2603757093958,13.354418525325118,Fast,607.7620464390592,LiFePO4,793.0,####,2.0
20.98344113603009,3.877643904662736,86.5554452057024,,32.322030907556695,96.2212058314177,10.246970558098525,Slow,97.9506058883803,Li-ion,356.0,Model C,2.0
54.56592191001432,4.053506215387275,60.510050945427245,39.413530908194886,20.78879043238976,79.17169688924005,11.29661404834713,Normal,97.74067719033056,LiFePO4,288.0,Model A,1.0
13.094966900369656,3.723126752052449,57.10518202369298,22.266070094549285,24.35362424969754,39.20233691363445,5.034913259215485,Slow,98.9930173481569,LiFePO4,339.0,Model B,0.0
91.83883618709038,3.938123963505906,20.32919846822957,28.072020047231824,27.38779938733004,86.66856518925131,13.21792324415372,Fast,97.35641535116926,LiFePO4,970.0,Model B,2.0
33.290198344001524,4.120184423765331,87.41257240144915,34.75769969669212,23.22380951738982,82.3379565959907,10.263891285033909,Slow,97.94722174299322,Li-ion,998.0,Model C,2.0
69.62700559185838,3.9311042317276135,75.05328728876353,34.091088560548904,23.54972908180536,80.24691704572665,11.87314779476425,Fast,97.62537044104717,LiFePO4,602.0,Model C,2.0
38.053996848046985,3.663071632327544,16.090152571000143,28.45457273787865,21.60569335004169,68.97858679882407,9.073644045864954,Normal,98.185271190827,LiFePO4,807.0,Model A,1.0
56.80612190600297,3.5170805470895767,73.70515875067917,26.930483359054364,26.28463633369072,72.86566039892756,10.258968629830164,Fast,97.94820627403396,LiFePO4,908.0,Model A,1.0
59.203925140895166,4.109069211730651,58.91843956083815,27.952247571057413,32.01149056030232,53.44425271181041,8.811496361581831,Normal,98.23770072768365,LiFePO4,776.0,Model C,1.0
26.636900997297435,3.514888587595271,17.355281117210044,25.285525263172783,19.030567560126254,71.93126926423031,8.590393751709371,Normal,98.28192124965813,LiFePO4,918.0,Model C,1.0
97.26261649881027,4.112291170878939,51.24705773757909,24.106658774135997,33.688660775068826,39.75559056784783,9.381429644301296,Fast,98.12371407113974,LiFePO4,370.0,Model B,0.0
79.76195410250031,3.8702559938190486,53.62266584170423,29.6607939511778,,100.51743973603767,13.84759071402038,Normal,97.23048185719593,LiFePO4,619.0,Model B,2.0
94.55490474077702,4.157347388959027,24.91970861469482,25.370675121352143,31.465464253600604,38.57769546987078,9.211086948929026,Slow,98.1577826102142,Li-ion,649.0,Model A,0.0
90.5344615384884,4.059148265041566,95.11283323002542,25.749233297945004,26.123813852600232,28.49662898894664,8.188903824233892,Normal,98.36221923515322,Li-ion,213.0,Model B,0.0
63.810998092997664,4.198553877373336,86.49778343325957,33.13512126949114,290.34329103131694,63.62460263571574,10.14935618776742,Fast,97.97012876244652,LiFePO4,438.0,Model A,1.0
92.96868115208052,3.745498270816197,70.21201035961974,39.37074663399784,15.324007946789344,85.83074395060619,13.769533385187763,Slow,97.24609332296244,Li-ion,667.0,Model A,2.0
